"青沥备开内靛","state.han.","city.han.","city2.han.","困档","版档","惯钎矫埃","浅氢","浅加","扁柯","嚼档","碍荐樊"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 13:00:00","合辑","3.7","9.5","30","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 14:00:00","合辑","3.7","9.6","26","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 15:00:00","合辑","4","8.2","27","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 16:00:00","合辑","3.4","7.8","31","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 17:00:00","合辑","3.2","6.3","34","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 18:00:00","合辑","4.3","5.1","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 19:00:00","合辑","3.8","4","44","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 20:00:00","合辑","2.9","3.9","47","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 21:00:00","辑","3.8","4.1","52","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 22:00:00","合辑","3","3.8","54","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-15 23:00:00","辑","3.7","3.4","54","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 00:00:00","辑","4.6","2.8","52","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 01:00:00","合辑","3.4","2.5","54","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 02:00:00","合辑","4.2","2.1","52","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 03:00:00","合辑","3.8","1.5","49","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 04:00:00","合辑","3.2","1.3","51","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 05:00:00","合辑","4","1","51","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 06:00:00","合辑","3","0.7","51","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 07:00:00","辑","4.5","0.3","48","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 08:00:00","合辑","3.3","0.1","61","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 09:00:00","合辑","4.2","0.1","59","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 10:00:00","合辑","3.5","0.9","53","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 11:00:00","合辑","3.8","1.2","57","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 12:00:00","辑","5.3","2.1","44","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 13:00:00","合辑","5.3","2.3","40","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 14:00:00","合辑","3.9","2.8","37","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 15:00:00","合辑","4.8","2.7","38","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 16:00:00","辑","4","2.7","38","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 17:00:00","合辑","3.8","1.8","38","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 18:00:00","辑","3.2","1.1","41","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 19:00:00","辑","2.6","0.6","42","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 20:00:00","辑","2.8","0.3","44","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 21:00:00","合辑","2.4","-0.1","43","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 22:00:00","合辑","1.9","-0.5","45","0"
2723000000,"措备堡开矫","合备","-",35.8827,128.585022,"2019-02-16 23:00:00","合辑","1.6","-0.9","48","0"
